File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO1_3.raw	134981	9130	1.3515e+10	1479074904883	239116851725	2.181	0.06	3.2005	0.47601	1.17084	1.06789	0.999121	0.0180413	14.271	2.559	0.242
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_c-jun_KO_3.raw	181034	9668	3.70184e+10	3939084755598	604947190867	2.256	0.062	2.16238	0.576584	1.30138	1.28456	0.999984	0.0160207	14.334	2.553	0.267
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_c-jun_KO_2.raw	202865	9850	8.05814e+10	7184113321681	1048737159951	2.373	0.065	1.55099	0.624585	1.47713	1.17348	1	0.0170988	14.169	2.536	0.296
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_cDDP_06h_2.raw	170412	9754	9.49364e+10	10757471650284	1437296926257	2.507	0.069	2.42802	0.7179	1.37328	1.16508	0.999373	0.0209925	13.981	2.488	0.25
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO2_1.raw	138430	9213	1.65805e+10	1847382354766	297696506955	2.205	0.06	2.77413	0.48462	1.0579	0.998916	0.996646	0.0168156	14.269	2.549	0.247
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL_cDDP_24h1_2.raw	132140	9094	1.68147e+10	1775909206486	267377579333	2.21	0.061	2.52613	0.4248	1.05315	0.991972	0.945369	0.0164507	13.765	2.513	0.248
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_c-jun_KO_1.raw	221921	9724	3.30873e+10	2930359407210	363147609796	2.158	0.059	2.16113	0.514853	1.23966	1.18336	1	0.0299326	14.363	2.579	0.336
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_c-jun_KO_2.raw	246961	10004	9.30986e+10	8084051878490	1043276455325	2.356	0.064	1.61228	0.561707	1.28983	1.20084	1	0.0141148	14.529	2.594	0.342
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_c-jun_KO_2.raw	195066	9913	1.08179e+11	9877838135353	1629692844309	2.491	0.068	2.02551	0.617759	1.7024	1.1786	1	0.0194047	14.361	2.551	0.317
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h2_3.raw	106418	8695	8.9614e+09	1066007514890	185605550251	2.155	0.059	2.46301	0.45775	1.15251	1.01881	0.897533	0.0163423	14.121	2.541	0.242
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_CTRL_1.raw	197736	9764	5.80553e+10	5051649369178	764351139461	2.27	0.062	1.52696	0.541039	1.3516	1.14489	1	0.0164365	14.179	2.544	0.288
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_3.raw	239649	9967	7.53941e+10	6561620600390	864028886337	2.302	0.063	0.699234	0.693564	1.21141	1.13585	1	0.015173	14.507	2.598	0.344
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL_JNK-IN-8_cDDP_24h1_2.raw	130755	8843	9.68175e+09	1108460246297	187850955601	2.11	0.058	2.67207	0.442857	1.26069	1.1432	0.969531	0.0187534	14.502	2.578	0.24
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_c-jun_KO_cDDP_06h_2.raw	175688	9615	4.42396e+10	4967891612828	711245920981	2.314	0.063	2.57597	0.622866	1.25188	1.22053	1	0.0158419	14.139	2.518	0.262
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h1_1.raw	142926	9212	1.9682e+10	2124498094097	322726858766	2.21	0.061	2.94357	0.430108	1.16514	1.01478	0.996396	0.0162003	14.117	2.541	0.249
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_JNK-IN-8_cDDP_06h_1.raw	170918	9627	3.79981e+10	3828210191989	618434531976	2.278	0.062	2.35475	0.529184	1.20573	1.12544	1	0.0193509	14.168	2.527	0.255
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO2_3.raw	138563	9120	1.39038e+10	1599670757955	268383468385	2.185	0.06	2.55292	0.507019	1.14276	1.06485	0.996604	0.016958	14.556	2.578	0.245
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_cDDP_06h_3.raw	181101	9622	5.17187e+10	5808030798331	831656467631	2.338	0.064	2.27587	0.624492	1.22004	1.11238	0.999991	0.0159218	14.253	2.521	0.242
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_JNK-IN-8_cDDP_24h_3.raw	238025	9990	5.90045e+10	5554857877571	666431382611	2.274	0.062	2.52328	0.607758	1.20592	1.1824	1	0.0144818	14.501	2.595	0.338
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group4_CTRL_cDDP_06h_2.raw	189945	9961	9.15019e+10	8657697767767	1443836277518	2.498	0.068	2.44011	0.635978	1.65847	1.15405	1	0.0180692	14.408	2.551	0.314
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL1_1.raw	163374	9580	3.79007e+10	4049854878998	609659365202	2.29	0.063	3.78813	0.49758	1.03396	1.00944	1	0.0182029	14.383	2.558	0.272
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h1_2.raw	133823	8974	1.42696e+10	1576486289150	250301211763	2.178	0.06	2.97568	0.450563	1.14843	1.04448	0.99692	0.0164023	14.191	2.552	0.244
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_CTRL_cDDP_24h1_1.raw	131740	9154	1.98959e+10	2114219258991	310404625437	2.233	0.061	2.52745	0.45151	1.18837	0.967202	0.958952	0.0166352	13.401	2.477	0.25
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_cDDP_24h_2.raw	244910	9991	9.34235e+10	8690917615332	1035350383989	2.359	0.065	1.65849	0.702965	1.33233	1.16763	1	0.014344	14.515	2.592	0.344
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h2_1.raw	125323	8855	1.25678e+10	1404416431136	234065533459	2.196	0.06	2.48847	0.470495	1.22413	1.14772	0.974324	0.0179254	14.101	2.54	0.243
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_3.raw	199111	9799	5.59707e+10	5504576413653	809136101268	2.287	0.063	0.723252	0.635088	1.29476	1.16899	1	0.0156005	14.335	2.557	0.3
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group3_CTRL_JNK-IN-8_cDDP_06h_3.raw	162392	9533	2.87653e+10	3328233911084	479200064858	2.273	0.062	2.95646	0.563986	1.23601	1.082	1	0.0162475	14.06	2.514	0.246
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group1_c-jun_KO_cDDP_24h_2.raw	201041	9724	7.24923e+10	6973905060722	969402829620	2.332	0.064	2.37399	0.636272	1.40943	1.2076	1	0.0165348	14.229	2.545	0.301
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO2_2.raw	126553	8985	1.09539e+10	1257988165655	220773087651	2.152	0.059	2.80775	0.442546	1.12658	1.04656	0.989689	0.017785	14.531	2.582	0.244
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_2.raw	238856	10013	7.68162e+10	6652346160509	875772322258	2.297	0.063	0.712059	0.626685	1.2647	1.1334	1	0.0142774	14.51	2.598	0.344
/scratch/project_2011931/ProtCourse_2026/RAW_files/Group2_CTRL_JNK-IN-8_cDDP_24h_1.raw	200937	9560	1.98804e+10	1843350670731	235893718525	2.088	0.057	2.19042	0.488367	1.31425	1.17565	1	0.0299813	14.323	2.576	0.329
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h2_2.raw	124916	8841	1.24821e+10	1382770150132	231321428971	2.191	0.06	2.49699	0.563921	1.08608	1.04131	0.982758	0.0169006	14.095	2.543	0.244
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO_cDDP_24h1_3.raw	129333	9021	1.39824e+10	1648263330715	262064510664	2.196	0.06	2.93088	0.436745	1.09298	1.03096	0.995663	0.0168026	14.353	2.566	0.245
/scratch/project_2011931/ProtCourse_2026/RAW_files/20260331_c-jun_KO1_2.raw	138839	9279	1.65757e+10	1799104571818	281659655539	2.203	0.06	3.16094	0.452878	1.10908	1.02012	0.999807	0.01732	14.245	2.552	0.245
